form	lemma	POS	morph
།		PUNCT
རྡོ་ནག་	རྡོ་ནག་	NO_POS
དགོནེ་པ་	དགོནེ་པ་	NON_WORD
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
སློབ་	སློབ་	VERB
དཕྲོ་		NON_WORD
ཝོ་		NON_WORD
མོ་	མོ་	PRON
འཇམ་དབྱངས་	འཇམ་དབྱངས་	PROPN
ཀུན་དགའ་	ཀུན་དགའ་	PROPN
རྤཱ་		NON_WORD
ཝོ་		NON_WORD
མཆོག་	མཆོག་	ADJ
གི་	གི་	PART
མཛདཿ་		NON_WORD
།		PUNCT
		
སྐུ༷་		NON_WORD
རྔུ་	རྔུ་	NO_POS
།		PUNCT
		
		
བབགེ༷འིབ་		NON_WORD
སྐུ་	སྐུ་	NOUN
འི་	གི་	PART
		
བཿ་		NON_WORD
		
བསྐུལྔའི་		NON_WORD
		
		
ས་	ས་	ADP
ཅི་	ཅི་	NO_POS
		
ལྟ་	ལྟ་	NOUN
བྱེ་	བྱེ་	NOUN
མིང་	མིང་	NOUN
རི་	རི་	NOUN
		
		
		
ཞེ་	ཞེ་	PART
སྒོ་	སྒོ་	NOUN
པཚོ་		NON_WORD
		
ཇི་	ཇི་	NO_POS
		
མི་	མི་	PART
ཆོ་	ཆོ་	OTHER
སྐྲེ་		NON_WORD
།་་		PUNCT
		
རིཔ་		NON_WORD
་་། ་		PUNCT
རིམི་		NON_WORD
རཕྱོ་		NON_WORD
།་ །༈ ་		PUNCT
ཉྩ་		NON_WORD
ཚོ་	ཚོ་	DET
རི་	རི་	NOUN
།༈།།		PUNCT
རྐེ་	རྐེ་	NO_POS
རྟོ་		NON_WORD
སྙེ་	སྙེ་	NO_POS
"་

༄"		PUNCT
		
།།		PUNCT
དཔལ་ལྡན་	དཔལ་ལྡན་	ADJ
གླང་	གླང་	NOUN
ནག་	ནག་	VERB
དགོན་པ་	དགོན་པ་	NOUN
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
སློབ་	སློབ་	VERB
དམེན་		NON_WORD
ཆེན་	ཆེན་	NO_POS
མོ་	མོ་	PRON
འཇམ་དབྱངས་	འཇམ་དབྱངས་	PROPN
ཀུན་དགའ་	ཀུན་དགའ་	PROPN
